,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교_건국대학교,대학교_경희대학교,대학교_고려대학교,대학교_단국대학교,대학교_동국대학교,대학교_명지대학교,대학교_상명대학교,대학교_성균관대학교,대학교_연세대학교,대학교_조선대학교,대학교_중앙대학교,대학교_한양대학교,EFF,키
252,장태빈,15,19901,79,5.266666667,15,42,0.357142857,15,51,0.294117647,4,6,0.666666667,13,26,2.6,62,4.133333333,7,4,0,0,9,11,0,0,4,5,36,6,0,2018,0,0,1,0,0,0,0,0,0,0,0,0,64,183.0
253,전건우,6,13419,78,13.0,9,25,0.36,15,40,0.375,15,21,0.714285714,11,11,3.666666667,8,1.333333333,11,0,0,0,6,7,0,4,0,0,13,0,0,2008,0,1,0,0,0,0,0,0,0,0,0,0,502,183.0
254,전규철,3,3697,29,9.666666667,9,20,0.45,2,12,0.166666667,5,10,0.5,4,4,2.666666667,0,0.0,2,0,0,0,2,7,0,2,0,0,5,0,0,2004,0,0,0,0,1,0,0,0,0,0,0,0,1,189.0
255,전병석,5,8619,83,16.6,25,43,0.581395349,10,21,0.476190476,3,6,0.5,9,10,3.8,4,0.8,6,1,0,0,6,6,0,4,0,0,4,0,0,2002,0,0,0,0,0,0,0,0,1,0,0,0,136,188.0
256,전성현,16,37505,323,20.1875,70,160,0.4375,55,114,0.48245614,18,22,0.818181818,13,28,2.5625,34,2.125,20,2,0,0,14,10,0,13,13,7,33,0,0,2013,0,0,0,0,0,0,0,0,0,0,1,0,392,189.0
257,전성환,4,8815,36,9.0,8,19,0.421052632,5,19,0.263157895,5,6,0.833333333,4,8,3.0,35,8.75,2,0,0,0,1,3,0,1,1,0,9,2,2,2019,0,0,0,0,0,0,1,0,0,0,0,0,42,178.2
258,전원석,5,5700,30,6.0,7,20,0.35,4,18,0.222222222,4,8,0.5,1,6,1.4,2,0.4,2,1,0,0,8,3,0,1,0,0,4,0,0,2005,0,0,1,0,0,0,0,0,0,0,0,0,63,190.0
259,전정규,7,14413,170,24.28571429,30,55,0.545454545,24,57,0.421052632,38,48,0.791666667,13,23,5.142857143,5,0.714285714,7,2,0,0,10,8,0,6,0,0,10,0,0,2005,0,0,0,0,0,0,0,0,1,0,0,0,669,187.0
260,전준범,5,6665,37,7.4,8,16,0.5,5,18,0.277777778,6,12,0.5,0,14,2.8,2,0.4,4,1,0,0,4,5,0,4,2,2,5,2,0,2013,0,0,0,0,0,0,0,0,1,0,0,0,731,194.0
261,전태영,5,10146,72,14.4,19,29,0.655172414,9,28,0.321428571,7,14,0.5,4,17,4.2,36,7.2,11,3,0,0,5,12,0,2,4,2,10,5,1,2017,0,0,0,1,0,0,0,0,0,0,0,0,10,182.4
262,전현우,5,8430,69,13.8,16,21,0.761904762,11,31,0.35483871,4,8,0.5,6,16,4.4,14,2.8,5,2,0,0,9,9,0,0,11,0,3,0,0,2018,0,0,1,0,0,0,0,0,0,0,0,0,698,194.0
263,전형수,4,7322,44,11.0,9,17,0.529411765,5,16,0.3125,11,15,0.733333333,2,17,4.75,5,1.25,4,0,0,0,5,6,0,6,0,0,6,0,0,2000,0,0,1,0,0,0,0,0,0,0,0,0,992,181.0
264,정강호,3,6561,58,19.33333333,18,31,0.580645161,2,9,0.222222222,16,20,0.8,7,14,7.0,1,0.333333333,2,5,0,0,5,5,0,3,3,0,10,1,1,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,191.0
265,정대한,20,38846,275,13.75,55,124,0.443548387,47,143,0.328671329,24,31,0.774193548,19,38,2.85,53,2.65,19,2,0,0,20,25,0,21,20,6,44,37,4,2011,0,0,1,0,0,0,0,0,0,0,0,0,207,184.0
266,정민수,3,6307,41,13.66666667,14,23,0.608695652,2,10,0.2,7,11,0.636363636,4,2,2.0,27,9.0,4,0,0,0,2,8,0,2,4,1,5,2,0,2021,1,0,0,0,0,0,0,0,0,0,0,0,525,192.0
267,정병국,7,12614,99,14.14285714,33,44,0.75,8,15,0.533333333,9,12,0.75,6,18,3.428571429,5,0.714285714,8,1,0,0,6,9,0,6,0,0,9,0,0,2006,0,0,0,0,0,0,0,0,0,0,1,0,597,183.0
268,정봉영,22,21552,83,3.772727273,20,65,0.307692308,5,17,0.294117647,28,35,0.8,14,24,1.727272727,8,0.363636364,8,4,0,0,16,13,0,5,6,6,31,10,3,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,187.0
269,정상헌,4,5339,29,7.25,7,11,0.636363636,3,13,0.230769231,6,8,0.75,2,3,1.25,3,0.75,1,0,0,0,5,8,0,2,0,0,9,0,0,2003,0,0,1,0,0,0,0,0,0,0,0,0,23,192.0
270,정성수,22,43223,116,5.272727273,20,46,0.434782609,20,70,0.285714286,16,26,0.615384615,11,77,4.0,115,5.227272727,30,0,0,0,6,22,0,22,10,5,27,51,10,2012,0,0,0,0,0,0,0,0,0,0,1,0,170,174.0
271,정성우,16,36135,268,16.75,77,167,0.461077844,20,74,0.27027027,54,69,0.782608696,24,39,3.9375,68,4.25,42,9,0,0,17,29,0,16,14,5,58,43,5,2015,0,0,0,0,0,0,1,0,0,0,0,0,300,178.0
272,정성호,16,25753,193,12.0625,17,44,0.386363636,49,138,0.355072464,12,18,0.666666667,21,50,4.4375,6,0.375,18,6,0,0,17,14,0,5,6,1,10,0,0,2015,0,0,0,0,0,0,0,0,1,0,0,0,169,194.0
273,정영삼,4,8049,41,10.25,11,29,0.379310345,4,15,0.266666667,7,8,0.875,7,11,4.5,1,0.25,0,0,0,0,7,6,0,6,0,0,5,0,0,2006,1,0,0,0,0,0,0,0,0,0,0,0,644,187.0
274,정의한,4,4657,10,2.5,3,10,0.3,0,4,0.0,4,4,1.0,2,5,1.75,3,0.75,2,0,0,0,2,4,0,3,0,0,5,0,0,2006,0,0,1,0,0,0,0,0,0,0,0,0,103,184.0
275,정인덕,16,27611,157,9.8125,49,96,0.510416667,15,64,0.234375,14,20,0.7,35,57,5.75,11,0.6875,18,15,1,1,23,13,0,12,7,1,19,4,0,2016,0,0,0,0,0,0,0,0,0,0,1,0,18,196.0
276,정재철,5,6729,53,10.6,11,17,0.647058824,6,19,0.315789474,13,15,0.866666667,8,10,3.6,7,1.4,7,0,0,0,8,8,0,2,0,0,11,0,0,2009,0,1,0,0,0,0,0,0,0,0,0,0,-3,183.0
277,정재호,4,8835,55,13.75,9,18,0.5,7,21,0.333333333,16,19,0.842105263,4,14,4.5,10,2.5,2,2,0,0,5,3,0,7,0,0,6,0,0,2004,0,1,0,0,0,0,0,0,0,0,0,0,674,180.0
278,정종현,3,4605,22,7.333333333,9,20,0.45,1,7,0.142857143,1,6,0.166666667,10,8,6.0,1,0.333333333,2,2,0,0,3,4,0,0,1,1,6,1,0,2021,0,0,0,0,1,0,0,0,0,0,0,0,23,202.6
279,정준수,16,33980,288,18.0,94,169,0.556213018,21,75,0.28,37,57,0.649122807,65,76,8.8125,22,1.375,15,2,0,0,22,27,0,2,18,12,45,0,0,2017,0,0,0,0,0,1,0,0,0,0,0,0,145,191.7
280,정준원,5,4406,42,8.4,16,32,0.5,3,5,0.6,1,5,0.2,2,2,0.8,2,0.4,1,0,0,0,5,3,0,1,7,4,1,10,0,2011,0,0,0,0,0,0,0,0,1,0,0,0,173,193.0
281,정진욱,4,7394,16,4.0,4,8,0.5,2,6,0.333333333,2,7,0.285714286,7,14,5.25,11,2.75,9,0,0,0,10,9,0,2,1,0,4,0,0,2018,0,0,0,0,0,0,1,0,0,0,0,0,3,183.3
282,정창영,4,8746,35,8.75,9,15,0.6,3,9,0.333333333,8,9,0.888888889,5,22,6.75,13,3.25,3,3,0,0,2,13,0,7,0,0,15,0,0,2010,0,0,1,0,0,0,0,0,0,0,0,0,457,193.0
283,정해원,16,36709,281,17.5625,52,106,0.490566038,51,161,0.316770186,24,41,0.585365854,21,44,4.0625,47,2.9375,42,9,0,0,25,12,0,4,22,6,33,25,9,2017,0,0,0,0,0,0,0,0,0,1,0,0,145,186.6
284,정효근,16,33852,316,19.75,101,180,0.561111111,20,74,0.27027027,54,85,0.635294118,46,102,9.25,49,3.0625,26,20,8,8,23,22,0,9,23,7,54,0,0,2014,0,0,0,0,0,0,0,0,0,0,0,1,636,202.0
285,정휘량,4,8892,73,18.25,21,39,0.538461538,7,16,0.4375,10,19,0.526315789,17,11,7.0,1,0.25,3,0,0,0,11,5,0,6,0,0,10,0,0,2007,0,0,0,1,0,0,0,0,0,0,0,0,187,198.0
286,정희원,4,6010,41,10.25,11,16,0.6875,4,19,0.210526316,7,7,1.0,6,12,4.5,0,0.0,5,4,0,0,3,5,0,2,10,0,3,2,0,2016,0,0,1,0,0,0,0,0,0,0,0,0,125,191.0
287,정희재,3,5337,42,14.0,18,30,0.6,0,1,0.0,6,9,0.666666667,8,14,7.333333333,0,0.0,5,3,0,0,4,5,0,2,3,0,10,0,0,2012,0,0,1,0,0,0,0,0,0,0,0,0,307,195.0
288,조상열,3,4418,43,14.33333333,8,14,0.571428571,7,20,0.35,6,6,1.0,4,6,3.333333333,3,1.0,3,0,0,0,3,7,0,4,7,3,10,0,0,2011,0,0,0,1,0,0,0,0,0,0,0,0,217,188.5
289,조성민,6,11784,104,17.33333333,26,44,0.590909091,9,40,0.225,25,29,0.862068966,5,30,5.833333333,12,2.0,12,0,0,0,2,13,0,7,0,0,9,0,0,2005,0,0,0,0,0,0,0,0,0,0,0,1,695,189.0
290,조용상,4,6367,38,9.5,7,12,0.583333333,6,15,0.4,6,10,0.6,6,11,4.25,0,0.0,1,4,0,0,10,6,0,7,0,0,11,0,0,2009,0,0,0,0,0,1,0,0,0,0,0,0,200,192.8
291,조효현,4,6632,47,11.75,11,20,0.55,2,11,0.181818182,19,26,0.730769231,2,8,2.5,12,3.0,6,0,0,0,4,13,0,5,0,0,5,0,0,2010,0,0,0,0,0,0,0,1,0,0,0,0,198,178.0
292,주긴완,3,5468,34,11.33333333,15,25,0.6,0,5,0.0,4,4,1.0,11,25,12.0,6,2.0,7,5,0,0,7,4,0,6,2,0,10,0,0,2016,0,0,0,0,0,1,0,0,0,0,0,0,33,192.0
293,주지훈,5,4418,46,9.2,21,31,0.677419355,0,1,0.0,4,5,0.8,13,12,5.0,0,0.0,5,0,1,1,5,3,0,1,0,1,4,0,0,2014,0,0,0,0,0,0,0,0,1,0,0,0,48,201.0
294,진경석,4,9355,120,30.0,19,34,0.558823529,20,48,0.416666667,22,29,0.75862069,6,16,5.5,5,1.25,6,2,0,0,4,6,0,5,0,0,9,0,0,2001,0,0,0,0,0,0,0,1,0,0,0,0,593,189.0
295,차민석,4,6840,33,8.25,10,32,0.3125,3,11,0.272727273,4,4,1.0,6,10,4.0,4,1.0,4,0,0,0,2,1,0,4,0,0,2,0,0,2010,1,0,0,0,0,0,0,0,0,0,0,0,12,194.0
296,차바위,22,48766,489,22.22727273,112,201,0.55721393,63,176,0.357954545,76,95,0.8,72,114,8.454545455,73,3.318181818,28,7,0,0,26,42,0,22,35,8,76,15,3,2011,0,0,0,0,0,0,0,0,0,0,0,1,576,192.0
297,차재영,7,14582,122,17.42857143,29,53,0.547169811,16,49,0.326530612,16,22,0.727272727,16,29,6.428571429,11,1.571428571,13,8,0,0,9,11,0,11,0,0,15,0,0,2007,0,0,1,0,0,0,0,0,0,0,0,0,354,193.0
298,천기범,6,10921,56,9.333333333,14,29,0.482758621,6,24,0.25,10,12,0.833333333,25,15,6.666666667,19,3.166666667,21,1,0,0,4,17,0,2,1,0,9,3,0,2016,0,0,0,0,0,0,0,0,1,0,0,0,557,186.0
299,천대현,4,6419,37,9.25,6,11,0.545454545,6,19,0.315789474,7,10,0.7,5,19,6.0,9,2.25,7,7,0,0,6,10,0,11,0,0,5,0,0,2007,0,0,0,0,1,0,0,0,0,0,0,0,346,193.0
300,천일환,3,1900,11,3.666666667,2,5,0.4,1,3,0.333333333,4,6,0.666666667,5,2,2.333333333,1,0.333333333,2,0,0,0,4,6,0,4,0,0,1,0,0,2003,0,1,0,0,0,0,0,0,0,0,0,0,7,184.0
301,천재민,16,13722,53,3.3125,6,21,0.285714286,12,39,0.307692308,5,7,0.714285714,8,16,1.5,7,0.4375,5,3,0,0,15,12,0,0,1,2,13,0,0,2018,0,0,0,0,0,0,0,0,1,0,0,0,52,189.8
302,최고봉,4,8716,116,29.0,38,57,0.666666667,5,16,0.3125,25,34,0.735294118,14,29,10.75,3,0.75,5,0,0,0,4,2,0,3,0,0,6,0,0,2006,0,0,0,0,0,0,0,0,0,1,0,0,97,186.0
303,최병훈,3,5966,32,10.66666667,7,18,0.388888889,5,13,0.384615385,3,4,0.75,5,6,3.666666667,0,0.0,5,0,0,0,3,4,0,2,0,0,3,0,0,1999,0,0,0,0,0,0,0,0,1,0,0,0,83,187.0
304,최성근,4,4768,21,5.25,10,26,0.384615385,0,2,0.0,1,2,0.5,8,7,3.75,2,0.5,0,0,0,0,5,6,0,3,0,0,11,0,0,2008,0,0,0,0,1,0,0,0,0,0,0,0,33,197.0
305,최성모,15,25976,211,14.06666667,71,122,0.581967213,9,27,0.333333333,42,55,0.763636364,18,57,5.0,32,2.133333333,17,5,0,1,8,34,0,8,12,4,19,3,0,2016,0,0,1,0,0,0,0,0,0,0,0,0,359,186.4
306,최성원,16,22812,106,6.625,32,72,0.444444444,8,36,0.222222222,18,30,0.6,13,24,2.3125,59,3.6875,14,1,0,0,6,19,0,4,9,7,30,3,1,2017,0,0,1,0,0,0,0,0,0,0,0,0,528,184.0
307,최수현,22,43045,131,5.954545455,45,96,0.46875,7,24,0.291666667,20,34,0.588235294,28,48,3.454545455,134,6.090909091,26,0,0,0,25,26,0,12,11,4,95,61,8,2012,0,0,0,0,0,0,0,0,0,1,0,0,191,180.0
308,최승태,4,5657,23,5.75,8,10,0.8,1,9,0.111111111,4,6,0.666666667,7,7,3.5,3,0.75,4,1,0,0,1,3,0,2,0,0,5,0,0,2003,0,0,0,0,0,0,0,0,1,0,0,0,66,188.0
309,최우연,16,7603,85,5.3125,35,54,0.648148148,4,9,0.444444444,3,6,0.5,18,22,2.5,4,0.25,2,1,0,0,13,9,0,3,4,2,15,12,0,2017,0,0,0,0,0,0,0,1,0,0,0,0,40,198.0
310,최원혁,4,8992,46,11.5,14,28,0.5,2,12,0.166666667,12,18,0.666666667,8,25,8.25,18,4.5,5,1,0,0,2,12,0,1,1,6,7,0,0,2014,0,0,0,0,0,0,0,0,0,0,0,1,238,183.0
311,최윤호,7,7593,49,7.0,12,25,0.48,7,18,0.388888889,4,7,0.571428571,5,18,3.285714286,6,0.857142857,3,0,0,0,3,8,0,4,1,0,6,0,0,2007,0,0,1,0,0,0,0,0,0,0,0,0,355,186.0
312,최준용,6,9713,121,20.16666667,50,81,0.617283951,2,12,0.166666667,15,19,0.789473684,26,45,11.83333333,12,2.0,5,6,0,0,5,8,0,3,6,0,16,0,1,2016,0,0,0,0,0,0,0,0,1,0,0,0,748,200.0
313,최진광,3,6343,49,16.33333333,11,24,0.458333333,7,16,0.4375,6,6,1.0,1,10,3.666666667,21,7.0,1,0,0,0,3,3,0,1,4,5,9,5,0,2019,1,0,0,0,0,0,0,0,0,0,0,0,87,175.7
314,최창진,14,23174,114,8.142857143,43,69,0.623188406,0,4,0.0,28,39,0.717948718,37,45,5.857142857,57,4.071428571,33,0,0,0,17,23,0,18,6,0,33,29,3,2015,0,1,0,0,0,0,0,0,0,0,0,0,175,185.0
315,최현민,21,33228,285,13.57142857,105,190,0.552631579,6,32,0.1875,57,96,0.59375,62,96,7.523809524,34,1.619047619,19,9,0,0,27,29,0,19,31,6,48,2,0,2011,0,0,0,0,0,0,0,0,0,0,1,0,472,195.0
316,하도현,16,29266,286,17.875,97,162,0.598765432,8,29,0.275862069,68,90,0.755555556,82,98,11.25,51,3.1875,11,19,0,0,13,11,0,5,24,10,31,11,0,2017,0,0,0,1,0,0,0,0,0,0,0,0,137,197.1
317,하재필,7,13751,95,13.57142857,40,68,0.588235294,0,2,0.0,15,22,0.681818182,23,38,8.714285714,13,1.857142857,5,13,0,0,13,10,0,7,2,0,20,0,0,2007,0,0,1,0,0,0,0,0,0,0,0,0,293,200.0
318,한상민,4,6047,32,8.0,8,14,0.571428571,3,10,0.3,7,9,0.777777778,4,5,2.25,4,1.0,2,0,0,0,4,9,0,7,0,0,10,0,0,2003,0,1,0,0,0,0,0,0,0,0,0,0,24,180.0
319,한상혁,3,5802,37,12.33333333,13,28,0.464285714,3,13,0.230769231,2,8,0.25,3,9,4.0,10,3.333333333,5,0,0,0,4,2,0,3,4,1,10,11,3,2015,0,0,0,0,0,0,0,0,0,0,0,1,130,183.0
320,한성원,5,8507,65,13.0,17,36,0.472222222,8,20,0.4,7,9,0.777777778,4,7,2.2,10,2.0,6,0,0,0,4,10,0,2,7,1,7,1,0,2014,0,1,0,0,0,0,0,0,0,0,0,0,127,180.0
321,한승희,3,4367,42,14.0,18,27,0.666666667,0,2,0.0,6,10,0.6,4,16,6.666666667,3,1.0,5,1,0,0,1,6,0,0,4,1,13,1,0,2020,0,0,0,0,0,0,0,0,1,0,0,0,64,196.0
322,한정훈,3,5549,46,15.33333333,6,10,0.6,11,21,0.523809524,1,1,1.0,1,7,2.666666667,2,0.666666667,4,0,0,0,2,4,0,5,0,0,6,0,0,2001,0,0,1,0,0,0,0,0,0,0,0,0,262,185.0
323,한호빈,16,37411,243,15.1875,81,153,0.529411765,13,50,0.26,42,59,0.711864407,26,38,4.0,91,5.6875,35,2,0,0,3,15,0,14,16,10,63,33,6,2013,1,0,0,0,0,0,0,0,0,0,0,0,241,180.0
324,한희원,5,9267,89,17.8,36,57,0.631578947,3,28,0.107142857,8,14,0.571428571,11,25,7.2,6,1.2,5,2,0,0,6,6,0,5,10,2,8,0,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,266,195.0
325,함준후,5,8872,57,11.4,17,30,0.566666667,6,14,0.428571429,5,7,0.714285714,2,17,3.8,4,0.8,2,2,0,0,2,7,0,6,0,0,9,0,0,2010,0,0,0,0,0,0,0,0,0,0,1,0,164,195.0
326,함지훈,7,12680,87,12.42857143,34,58,0.586206897,0,1,0.0,19,25,0.76,16,29,6.428571429,12,1.714285714,13,6,0,0,2,13,0,15,0,0,15,0,0,2006,0,0,0,0,0,0,0,0,0,0,1,0,1097,198.0
327,허웅,16,28694,226,14.125,61,107,0.570093458,24,85,0.282352941,32,38,0.842105263,16,34,3.125,28,1.75,28,1,0,0,12,16,0,9,23,7,31,0,1,2014,0,0,0,0,0,0,0,0,1,0,0,0,843,185.0
328,허일영,6,13920,130,21.66666667,29,59,0.491525424,18,47,0.382978723,18,22,0.818181818,19,38,9.5,4,0.666666667,7,1,0,0,4,6,0,7,0,0,10,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,0,648,196.0
329,허중,3,3166,10,3.333333333,0,3,0.0,1,2,0.5,7,10,0.7,5,2,2.333333333,4,1.333333333,1,0,0,0,4,5,0,3,0,0,6,0,0,1999,0,0,0,0,0,0,0,0,1,0,0,0,18,180.0
330,허진성,6,14090,62,10.33333333,18,40,0.45,6,25,0.24,8,11,0.727272727,7,27,5.666666667,14,2.333333333,7,1,0,0,4,14,0,6,0,0,10,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,0,149,182.0
331,허효진,6,6475,38,6.333333333,11,20,0.55,3,10,0.3,7,7,1.0,6,6,2.0,3,0.5,1,0,0,0,1,3,0,2,0,0,4,0,0,2006,0,0,0,0,0,0,0,0,0,0,1,0,311,190.0
332,허훈,16,19950,211,13.1875,62,115,0.539130435,18,58,0.310344828,33,43,0.76744186,11,16,1.6875,68,4.25,20,1,0,0,7,16,0,1,15,4,24,3,2,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,180.0
333,홍경기,4,8693,51,12.75,8,14,0.571428571,10,27,0.37037037,5,6,0.833333333,5,13,4.5,5,1.25,2,2,0,0,0,8,0,1,0,0,10,0,0,2010,0,0,1,0,0,0,0,0,0,0,0,0,362,184.0
334,홍석민,16,18437,106,6.625,26,61,0.426229508,17,43,0.395348837,3,5,0.6,17,55,4.5,14,0.875,1,6,1,1,12,16,0,1,1,0,14,1,1,2017,0,0,0,0,1,0,0,0,0,0,0,0,2,197.0
335,홍성헌,4,8671,84,21.0,32,72,0.444444444,0,3,0.0,20,27,0.740740741,19,19,9.5,3,0.75,0,1,0,0,8,6,0,10,0,0,7,0,0,2006,0,0,0,0,0,0,0,1,0,0,0,0,-1,195.0
336,홍수화,4,7424,64,16.0,21,36,0.583333333,3,15,0.2,13,17,0.764705882,16,12,7.0,0,0.0,5,0,0,0,6,8,0,4,0,0,16,0,0,2009,0,0,0,0,0,0,0,0,0,0,0,1,333,194.5
337,황진원,4,8587,57,14.25,17,23,0.739130435,2,8,0.25,17,20,0.85,6,9,3.75,8,2.0,4,1,0,0,6,4,0,2,0,0,14,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,956,188.0
